OMB Control No,Agency/Sub,Title,Request Type,Date Received,Concluded Date,Conclusion Action,Current Expiration Date,No. of ICs,No. of Forms,AdminYear,Web_ICR Ref. No.,Web_Request Type,Web_Date Received By OIRA,Web_Conclusion Date,Web_Conclusion Action,Request Year
1545-2026,TREAS/IRS,Tribal Evaluation of Filing and Accuracy Compliance (TEFAC) - Compliance Check Report,Extension without change of a currently approved collection,10/28/2022 0:00,12/6/2022 0:00,Approved without change,1/5/2026 0:00,1,1,2025,202208-1545-004,Discontinue,12/23/2025,1/5/2026,Approved,2025
1545-2126,TREAS/IRS,Form 8932 - Credit for Employer Differential Wage Payments,Extension without change of a currently approved collection,2/28/2022 0:00,4/18/2022 0:00,Approved without change,4/24/2025 0:00,1,1,2025,202112-1545-007,Discontinue,4/22/2025,4/24/2025,Approved,2025
1545-2144,TREAS/IRS,"Form 13997, Validating Your TIN and Reasonable Cause",Extension without change of a currently approved collection,6/1/2022 0:00,8/1/2022 0:00,Approved without change,8/31/2025 0:00,1,1,2025,202202-1545-013,Discontinue,8/20/2025,8/21/2025,Approved,2025
1545-2145,TREAS/IRS,"Notice 2009-52, Election of Investment Tax Credit in Lieu of Production Tax Credit; Coordination with Department of Treasury Grants for Specified Energy Property in Lieu of Tax Credits",Extension without change of a currently approved collection,7/29/2022 0:00,9/16/2022 0:00,Approved without change,8/31/2025 0:00,1,0,2025,202207-1545-004,Discontinue,8/22/2025,8/25/2025,Approved,2025
1545-2152,TREAS/IRS,The Health Coverage Tax Credit (HCTC) Reimbursement Request Form,Revision of a currently approved collection,2/28/2022 0:00,4/19/2022 0:00,Approved without change,4/24/2025 0:00,1,1,2025,202111-1545-022,Discontinue,4/22/2025,4/24/2025,Approved,2025
1545-2181,TREAS/IRS,Patient Protection and Affordable Care Act Patient Protection Notice,Extension without change of a currently approved collection,6/29/2022 0:00,8/8/2022 0:00,Approved without change,8/31/2025 0:00,1,0,2025,202204-1545-012,Discontinue,8/20/2025,8/21/2025,Approved,2025
1545-2195,TREAS/IRS,Statement of Specified Foreign Financial Assets,Extension without change of a currently approved collection,2/28/2022 0:00,8/24/2022 0:00,Approved without change,8/21/2025 0:00,1,1,2025,202110-1545-017,Discontinue,8/20/2025,8/21/2025,Approved,2025
1545-2215,TREAS/IRS,Form 8952 - Application for Voluntary Classification Settlement Program,Extension without change of a currently approved collection,2/28/2022 0:00,4/19/2022 0:00,Approved without change,4/24/2025 0:00,1,1,2025,202201-1545-024,Discontinue,4/22/2025,4/24/2025,Approved,2025
1545-2221,TREAS/IRS,Form 1098-MA - Mortgage Assistance Payments,Extension without change of a currently approved collection,3/31/2022 0:00,6/6/2022 0:00,Approved without change,5/31/2025 0:00,1,1,2025,202201-1545-036,Discontinue,5/21/2025,5/21/2025,Approved,2025
1545-2282,TREAS/IRS,Employer Credit for Paid Family and Medical Leave,Extension without change of a currently approved collection,12/28/2021 0:00,2/15/2022 0:00,Approved without change,2/28/2025 0:00,1,1,2025,202106-1545-009,Discontinue,2/5/2025,2/19/2025,Approved,2025
1545-2283,TREAS/IRS,Form 461 - Limitation on Business Losses,Extension without change of a currently approved collection,12/28/2021 0:00,2/10/2022 0:00,Approved without change,2/28/2025 0:00,1,1,2025,202108-1545-010,Discontinue,2/21/2025,2/25/2025,Approved,2025
1545-2294,TREAS/IRS,Deduction for Qualified Business Income (Form 8995 and Form 8995-A),Revision of a currently approved collection,12/28/2021 0:00,2/9/2022 0:00,Approved without change,2/28/2025 0:00,1,6,2025,202108-1545-004,Discontinue,2/21/2025,2/25/2025,Approved,2025
1545-2300,TREAS/IRS,"Notice 2021-57, Funding Relief for Multiemployer Defined Benefit Pension Plans Under the American Rescue Plan Act",Extension without change of a currently approved collection,4/29/2022 0:00,6/16/2022 0:00,Approved without change,5/22/2025 0:00,1,0,2025,202202-1545-009,Discontinue,5/22/2025,5/22/2025,Approved,2025
1557-0206,TREAS/OCC,Leasing,Extension without change of a currently approved collection,4/21/2022 0:00,7/11/2022 0:00,Approved without change,9/30/2025 0:00,1,0,2025,202204-1557-001,Discontinue,6/9/2025,9/15/2025,Approved,2025
1557-0328,TREAS/OCC,FFIEC Cybersecurity Assessment Tool,Revision of a currently approved collection,8/8/2022 0:00,9/29/2022 0:00,Approved without change,9/15/2025 0:00,1,0,2025,202207-1557-007,Discontinue,7/11/2025,9/15/2025,Approved,2025
1557-0331,TREAS/OCC,Domestic First Lien Residential Mortgage Data,Extension without change of a currently approved collection,6/17/2022 0:00,8/5/2022 0:00,Approved without change,9/30/2025 0:00,1,0,2025,202205-1557-014,Discontinue,6/16/2025,9/15/2025,Approved,2025
1557-0349,TREAS/OCC,Libor Self-Assessment,Extension without change of a currently approved collection,1/18/2022 0:00,3/3/2022 0:00,Approved without change,6/2/2025 0:00,1,2,2025,202201-1557-001,Discontinue,2/28/2025,6/2/2025,Approved,2025
1557-0352,TREAS/OCC,Request for a Medical Exception to the COVID-19 Vaccine Requirement,Extension without change of a currently approved collection,3/29/2022 0:00,6/27/2022 0:00,Approved without change,6/2/2025 0:00,2,2,2025,202203-1557-005,Discontinue,2/28/2025,6/2/2025,Approved,2025
1557-0353,TREAS/OCC,Request for a Religious Exception to the COVID-19 Vaccine Requirement,Extension without change of a currently approved collection,3/29/2022 0:00,6/27/2022 0:00,Approved without change,6/2/2025 0:00,1,1,2025,202203-1557-006,Discontinue,2/28/2025,6/2/2025,Approved,2025
1557-0354,TREAS/OCC,Climate Risk Range of Practice,Extension without change of a currently approved collection,5/2/2022 0:00,7/11/2022 0:00,Approved without change,6/2/2025 0:00,1,1,2025,202204-1557-004,Discontinue,3/18/2025,6/2/2025,Approved,2025
1557-0355,TREAS/OCC,Appian Vaccination Attestation Form,Extension without change of a currently approved collection,5/23/2022 0:00,7/25/2022 0:00,Approved without change,6/2/2025 0:00,1,0,2025,202205-1557-002,Discontinue,2/28/2025,6/2/2025,Approved,2025
1559-0041,TREAS/CDFIF,Generic Clearance for the Collection of Qualitative Feedback on Agency Service Delivery,Reinstatement without change of a previously approved collection,7/21/2022 0:00,9/14/2022 0:00,Approved without change,9/30/2025 0:00,2,0,2025,202207-1559-005,Discontinue,9/26/2025,9/30/2025,Approved,2025
1559-0053,TREAS/CDFIF,CDFI Fund Title VI Compliance Worksheet,New collection (Request for a new OMB Control Number),12/20/2021 0:00,12/23/2022 0:00,Approved with change,1/5/2026 0:00,1,1,2025,202110-1559-001,Discontinue,12/29/2025,1/5/2026,Approved,2025
1625-0034,DHS/USCG,Ships' Stores Certification for Hazardous Materials Aboard Ships,Extension without change of a currently approved collection,8/25/2021 0:00,1/18/2022 0:00,Approved with change,1/31/2025 0:00,1,0,2025,202107-1625-006,Discontinue,10/28/2024,10/28/2024,Approved,2024
1651-0098,DHS/USCBP,North American Free Trade Agreement (NAFTA) Certificate of Origin,Extension without change of a currently approved collection,3/1/2023 0:00,7/24/2023 0:00,Approved with change,8/7/2025 0:00,3,3,2025,202211-1651-006,Discontinue,8/1/2025,8/7/2025,Approved,2025
1652-0066,DHS/TSA,Security Training Program for Surface Transportation Employees,Extension without change of a currently approved collection,5/1/2023 0:00,10/2/2023 0:00,Approved without change,11/30/2025 0:00,11,0,2025,202304-1652-002,Discontinue,11/25/2025,11/25/2025,Approved,2025
1660-0139,DHS/FEMA,Ready PSA Campaign Creative Testing Research,Extension without change of a currently approved collection,9/27/2022 0:00,12/21/2022 0:00,Approved without change,8/31/2025 0:00,2,2,2025,202207-1660-001,Discontinue,8/4/2025,8/12/2025,Approved,2025
1660-0145,DHS/FEMA,Federal Emergency Management Agency Programs Customer Satisfaction,Revision of a currently approved collection,4/29/2022 0:00,9/14/2022 0:00,Approved without change,10/31/2025 0:00,9,8,2025,202203-1660-002,Discontinue,9/16/2025,9/19/2025,Approved,2025
1660-0150,DHS/FEMA,"Rated Orders, Adjustments, Exceptions, or Appeals Under the Emergency Management Priorities and Allocations System (EMPAS)",Extension without change of a currently approved collection,11/9/2021 0:00,4/28/2022 0:00,Approved without change,2/28/2025 0:00,1,0,2025,202111-1660-001,Discontinue,2/25/2025,2/26/2025,Approved,2025
1660-0154,DHS/FEMA,Generic Collection for Civil Rights and Equity,No material or nonsubstantive change to a currently approved collection,6/6/2024 0:00,6/6/2024 0:00,Approved without change,7/31/2025 0:00,1,1,2025,202405-1660-001,Discontinue,3/17/2025,6/24/2025,Approved,2025
1670-0007,DHS/CISA,Chemical Security Assessment Tool (CSAT),Revision of a currently approved collection,4/21/2023 0:00,11/15/2023 0:00,Approved without change,6/30/2025 0:00,6,6,2025,202304-1670-002,Discontinue,6/24/2025,6/27/2025,Approved,2025
1670-0014,DHS/CISA,Chemical Facility Anti-Terrorism Standards,Revision of a currently approved collection,7/29/2021 0:00,8/17/2022 0:00,Approved without change,6/30/2025 0:00,5,5,2025,202107-1670-001,Discontinue,6/24/2025,6/27/2025,Approved,2025
1670-0040,DHS/CISA,Nationwide Cyber Security Review (NCSR) Assessment,Reinstatement without change of a previously approved collection,4/5/2023 0:00,12/5/2023 0:00,Approved without change,1/8/2026 0:00,3,3,2025,202302-1670-001,Discontinue,12/11/2025,1/8/2026,Approved,2025
1810-0748,ED/OESE,Education Stabilization Fund- Governor's Emergency Education Relief Fund (GEER I and GEER II) Recipient Data Collection Form,Extension without change of a currently approved collection,9/30/2024 0:00,12/4/2024 0:00,Approved without change,4/30/2025 0:00,2,2,2025,202407-1810-004,Discontinue,4/8/2025,4/8/2025,Approved,2025
1810-0749,ED/OESE,Education Stabilization Fund- Elementary and Secondary School Emergency Relief Fund (ESSER I/ESSER II/ARP ESSER Fund) Recipient Data Collection Form,Revision of a currently approved collection,10/21/2024 0:00,11/26/2024 0:00,Approved without change,4/30/2025 0:00,1,1,2025,202407-1810-005,Discontinue,4/8/2025,4/8/2025,Approved,2025
1810-0763,ED/OESE,Project to Support America’s Families and Educators (Project SAFE) Grant Application,Extension without change of a currently approved collection,3/17/2022 0:00,4/27/2022 0:00,Approved without change,1/31/2025 0:00,1,1,2025,202203-1810-002,Discontinue,1/16/2025,1/16/2025,Approved,2025
1810-0765,ED/OESE,Education Stabilization Fund -- Emergency Assistance for Non-Public Schools (EANS) Program Recipient Annual Reporting Data Collection Form,Revision of a currently approved collection,9/30/2024 0:00,12/5/2024 0:00,Approved without change,4/30/2025 0:00,1,1,2025,202407-1810-003,Discontinue,4/8/2025,4/8/2025,Approved,2025
1810-0766,ED/OESE,Project Prevent Application,New collection (Request for a new OMB Control Number),1/31/2022 0:00,4/11/2022 0:00,Approved with change,5/31/2025 0:00,1,1,2025,202201-1810-006,Discontinue,5/8/2025,5/8/2025,Approved,2025
1810-0768,ED/OESE,Native Hawaiian Education and Alaska Native Education Annual Performance Report,New collection (Request for a new OMB Control Number),4/25/2022 0:00,7/7/2022 0:00,Approved without change,7/31/2025 0:00,1,1,2025,202111-1810-001,Discontinue,6/30/2025,7/7/2025,Approved,2025
1830-0575,ED/OCTAE,Performance Partnership Pilots Application,Extension without change of a currently approved collection,5/16/2022 0:00,6/29/2022 0:00,Approved without change,6/30/2025 0:00,1,0,2025,202203-1830-001,Discontinue,5/12/2025,5/19/2025,Approved,2025
1830-0579,ED/OCTAE,Supporting Excellence in Adult Education,Extension without change of a currently approved collection,7/5/2022 0:00,8/8/2022 0:00,Approved without change,8/31/2025 0:00,1,1,2025,202204-1830-002,Discontinue,8/4/2025,8/18/2025,Approved,2025
1840-0109,ED/OPE,Application Package for Grants under the Minority Science and Engineering Improvement Program (MSEIP) (1894-0001),Extension without change of a currently approved collection,4/28/2022 0:00,8/3/2022 0:00,Approved without change,9/10/2025 0:00,2,2,2025,202204-1840-002,Discontinue,8/27/2025,9/10/2025,Approved,2025
1840-0501,ED/OPE,Application Forms and Instructions for the Fulbright-Hays Seminars Abroad Program,Revision of a currently approved collection,2/3/2022 0:00,3/28/2022 0:00,Approved without change,4/3/2025 0:00,1,1,2025,202201-1840-005,Discontinue,3/31/2025,4/3/2025,Approved,2025
1840-0814,ED/OPE,Application package for TRIO Training Program for Federal TRIO Programs (1894-0001),Reinstatement with change of a previously approved collection,2/28/2022 0:00,4/15/2022 0:00,Approved with change,5/29/2025 0:00,2,2,2025,202506-1840-001,Reinstatement without change of a previously approved collection,6/10/2025,,,2025
1840-0823,ED/OPE,Application for Grants under the Veterans Upward Bound Program (1894-0001),Reinstatement with change of a previously approved collection,2/28/2022 0:00,4/15/2022 0:00,Approved with change,4/30/2025 0:00,2,2,2025,202202-1840-004,Discontinue,3/10/2025,4/18/2025,Approved,2025
1840-0824,ED/OPE,Application for Grants under the Upward Bound Math and Science Program,Reinstatement with change of a previously approved collection,2/7/2022 0:00,4/8/2022 0:00,Approved with change,4/30/2025 0:00,2,2,2025,202201-1840-006,Discontinue,3/10/2025,4/18/2025,Approved,2025
1840-0836,ED/OPE,Application Package for Strengthening Historically Black Graduate Institutions (HBGI) (1894-0001),No material or nonsubstantive change to a currently approved collection,3/19/2024 0:00,4/2/2024 0:00,Approved without change,9/11/2025 0:00,2,2,2025,202403-1840-005,Discontinue,8/27/2025,9/11/2025,Approved,2025
1840-0849,ED/OPE,HEERF Quarterly Budget and Expenditure Reporting,Revision of a currently approved collection,5/11/2022 0:00,6/30/2022 0:00,Approved without change,7/8/2025 0:00,3,3,2025,202203-1840-002,Discontinue,6/30/2025,7/8/2025,Approved,2025
1840-0850,ED/OPE,"Higher Education Emergency Relief Fund (HEERF) I, II and III Data Collection Form",Revision of a currently approved collection,9/30/2024 0:00,11/15/2024 0:00,Approved without change,4/30/2025 0:00,3,3,2025,202407-1840-002,Discontinue,4/10/2025,4/11/2025,Approved,2025
1840-0860,ED/OPE,Supplemental Support under the American Rescue Plan (SSARP) Application,Extension without change of a currently approved collection,4/26/2022 0:00,8/3/2022 0:00,Approved without change,8/31/2025 0:00,2,4,2025,202204-1840-003,Discontinue,8/8/2025,8/18/2025,Approved,2025
1840-0861,ED/OPE,"Higher Education Emergency Relief Fund (HEERF) (a)(2) Construction, Renovation, & Real Property Projects Prior Approval Request Form",Extension without change of a currently approved collection,8/1/2022 0:00,12/13/2022 0:00,Approved without change,12/2/2025 0:00,2,2,2025,202205-1840-006,Discontinue,11/19/2025,12/2/2025,Approved,2025
1840-0862,ED/OPE,National Resource Centers' Survey on Diverse Perspectives,New collection (Request for a new OMB Control Number),5/3/2022 0:00,7/15/2022 0:00,Approved with change,6/30/2025 0:00,1,1,2025,202201-1840-002,Discontinue,6/13/2025,6/16/2025,Approved,2025
1845-0031,ED/FSA,William D. Ford Direct Loan Program General Forbearance Request,Extension without change of a currently approved collection,12/21/2021 0:00,1/24/2022 0:00,Approved without change,1/31/2025 0:00,1,1,2025,202109-1845-003,Discontinue,1/7/2025,1/7/2025,Approved,2025
1845-0080,ED/FSA,FFEL/Direct Loan/Perkins Military Service Deferment/Post-Active Duty Student Deferment Request,Extension without change of a currently approved collection,9/6/2022 0:00,1/5/2023 0:00,Approved without change,1/31/2025 0:00,1,1,2025,202206-1845-004,Discontinue,1/7/2025,1/7/2025,Approved,2025
1845-0099,ED/FSA,Student Assistance General Provisions - Financial Assistance for Students with Intellectual Disabilities,Extension without change of a currently approved collection,6/21/2022 0:00,7/25/2022 0:00,Approved without change,7/31/2025 0:00,2,0,2025,202508-1845-010,Reinstatement without change of a previously approved collection,12/1/2025,,,2025
1845-0100,ED/FSA,Loan Cancellation in the Federal Perkins Loan Program,Extension without change of a currently approved collection,6/21/2022 0:00,9/20/2022 0:00,Approved without change,7/31/2025 0:00,4,0,2025,202508-1845-003,Reinstatement without change of a previously approved collection,11/21/2025,,,2025
1845-0101,ED/FSA,Part 601 Preferred Lender Arrangements,Extension without change of a currently approved collection,6/21/2022 0:00,8/17/2022 0:00,Approved without change,7/31/2025 0:00,4,4,2025,202203-1845-010,Discontinue,7/7/2025,7/14/2025,Approved,2025
1845-0126,ED/FSA,Health Education Assistance Loan (HEAL),Extension without change of a currently approved collection,5/2/2022 0:00,6/29/2022 0:00,Approved without change,5/31/2025 0:00,2,3,2025,202202-1845-002,Discontinue,5/2/2025,5/6/2025,Approved,2025
1845-0141,ED/FSA,Federal Student Aid (FSA) Feedback System,Extension without change of a currently approved collection,5/23/2022 0:00,6/29/2022 0:00,Approved without change,6/30/2025 0:00,1,0,2025,202202-1845-001,Discontinue,6/23/2025,6/23/2025,Approved,2025
1845-0154,ED/FSA,Cancer Treatment Deferment,Extension without change of a currently approved collection,6/14/2022 0:00,7/21/2022 0:00,Approved with change,1/31/2025 0:00,1,1,2025,202203-1845-002,Discontinue,1/7/2025,1/7/2025,Approved,2025
1845-0165,ED/FSA,Third Party Authorization Form,New collection (Request for a new OMB Control Number),3/1/2022 0:00,9/20/2022 0:00,Approved with change,6/30/2025 0:00,1,1,2025,202108-1845-006,Discontinue,5/30/2025,6/5/2025,Approved,2025
1845-0166,ED/FSA,FAFSA Form Demographic Survey,New collection (Request for a new OMB Control Number),8/24/2022 0:00,9/29/2022 0:00,Approved without change,6/30/2025 0:00,1,0,2025,202206-1845-001,Discontinue,5/27/2025,6/5/2025,Approved,2025
1845-0168,ED/FSA,Change in Ownership Notification to Students,No material or nonsubstantive change to a currently approved collection,3/7/2023 0:00,3/15/2023 0:00,Approved without change,9/30/2025 0:00,1,0,2025,202303-1845-002,Discontinue,9/3/2025,9/5/2025,Approved,2025
1845-0169,ED/FSA,Federal Family Education Loan (FFEL) Program Secured Overnight Financing Rate (SOFR) Election Form,New collection (Request for a new OMB Control Number),9/6/2022 0:00,12/5/2022 0:00,Approved without change,8/31/2025 0:00,3,0,2025,202206-1845-003,Discontinue,8/12/2025,8/29/2025,Approved,2025
1845-0170,ED/FSA,Application to Participate in Federal Student Financial Aid Programs (PEPS),New collection (Request for a new OMB Control Number),10/13/2022 0:00,1/3/2023 0:00,Approved without change,9/30/2025 0:00,3,3,2025,202208-1845-001,Discontinue,9/2/2025,9/5/2025,Approved,2025
1850-0768,ED/IES,National Household Education Survey 2023 (NHES:2023) Full-scale Data Collection,No material or nonsubstantive change to a currently approved collection,5/22/2023 0:00,5/30/2023 0:00,Approved without change,8/31/2025 0:00,1,0,2025,202305-1850-006,Discontinue,7/31/2025,8/5/2025,Approved,2025
1850-0870,ED/IES,Program for the International Assessment of Adult Competencies (PIAAC) Cycle II 2022 Main Study,Revision of a currently approved collection,6/30/2022 0:00,7/8/2022 0:00,Approved without change,8/31/2025 0:00,1,0,2025,202202-1850-007,Discontinue,7/31/2025,8/5/2025,Approved,2025
1850-0945,ED/IES,Comprehensive Literacy Program Evaluation: Comprehensive Literacy State Development (CLSD) Program Evaluation,Extension without change of a currently approved collection,2/26/2024 0:00,6/13/2024 0:00,Approved without change,5/19/2025 0:00,2,14,2025,202312-1850-002,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0953,ED/IES,Impact Evaluation of Training in Multi-Tiered Systems of Support for Reading in Early Elementary School,Revision of a currently approved collection,12/27/2021 0:00,2/1/2022 0:00,Approved without change,4/3/2025 0:00,2,3,2025,202108-1850-004,Discontinue,2/10/2025,4/3/2025,Approved,2025
1850-0960,ED/IES,Impact Evaluation of Teacher Residency Programs,Revision of a currently approved collection,11/30/2021 0:00,1/11/2022 0:00,Approved without change,1/31/2025 0:00,1,2,2025,202107-1850-004,Discontinue,12/6/2024,1/14/2025,Approved,2024
1850-0966,ED/IES,National Study to Inform the 21st Century Community Learning Centers (CCLC) Program (Second Study Component),New collection (Request for a new OMB Control Number),10/14/2021 0:00,2/1/2022 0:00,Approved without change,4/3/2025 0:00,1,8,2025,202106-1850-001,Discontinue,1/6/2025,4/3/2025,Approved,2025
1850-0967,ED/IES,Implementation of Title I/II-A Program Initiatives,New collection (Request for a new OMB Control Number),12/30/2021 0:00,3/21/2022 0:00,Approved with change,3/31/2025 0:00,1,3,2025,202108-1850-010,Discontinue,1/6/2025,3/24/2025,Approved,2025
1850-0970,ED/IES,National Evaluation of the 2019 Comprehensive Centers Program Grantees,New collection (Request for a new OMB Control Number),2/4/2022 0:00,4/21/2022 0:00,Approved with change,4/30/2025 0:00,1,5,2025,202109-1850-004,Discontinue,3/4/2025,4/3/2025,Approved,2025
1850-0971,ED/IES,Evaluation of the Implementation of the Statewide Family Engagement Centers,New collection (Request for a new OMB Control Number),3/16/2022 0:00,5/12/2022 0:00,Approved without change,5/31/2025 0:00,2,4,2025,202111-1850-004,Discontinue,3/4/2025,4/21/2025,Approved,2025
1850-0976,ED/IES,Evaluating the Impact of the Professional Learning Community: Emergent Literacy (PLC-EL),New collection (Request for a new OMB Control Number),2/2/2023 0:00,4/18/2023 0:00,Approved without change,5/19/2025 0:00,1,1,2025,202210-1850-008,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0978,ED/IES,Visual Representations for Proportional Reasoning: Impacts of a Teacher Professional Development Program for Multilingual Learners and Other Students,No material or nonsubstantive change to a currently approved collection,9/28/2023 0:00,11/6/2023 0:00,Approved without change,5/19/2025 0:00,8,8,2025,202309-1850-012,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0982,ED/IES,Evaluation of the REL West Supporting Early Reading Comprehension through Teacher Study Groups Toolkit,No material or nonsubstantive change to a currently approved collection,11/21/2024 0:00,11/29/2024 0:00,Approved without change,5/19/2025 0:00,1,4,2025,202411-1850-004,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0985,ED/IES,REL Pacific Efficacy and Implementation Evaluation of the Secondary Writing Toolkit,No material or nonsubstantive change to a currently approved collection,11/26/2024 0:00,12/11/2024 0:00,Approved without change,5/19/2025 0:00,1,0,2025,202410-1850-001,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0986,ED/IES,Evaluation of the REL Midwest Teaching Fractions Toolkit,No material or nonsubstantive change to a currently approved collection,6/17/2024 0:00,7/1/2024 0:00,Approved without change,5/13/2025 0:00,1,4,2025,202406-1850-004,Discontinue,4/22/2025,5/13/2025,Approved,2025
1850-0987,ED/IES,Efficacy Evaluation of the Mathematics Intervention Toolkit for the Elementary Grades,New collection (Request for a new OMB Control Number),8/22/2023 0:00,11/3/2023 0:00,Approved without change,5/19/2025 0:00,1,9,2025,202306-1850-001,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0988,ED/IES,Evaluation of the Toolkit to Support Evidence-Based Algebra Instruction in Middle and High School,Revision of a currently approved collection,5/13/2024 0:00,7/8/2024 0:00,Approved without change,5/13/2025 0:00,1,7,2025,202404-1850-004,Discontinue,4/22/2025,5/13/2025,Approved,2025
1850-0989,ED/IES,Evaluation of the Professional Learning Resources of the REL NW Toolkit for Using Technology to Support Postsecondary Student Learning,New collection (Request for a new OMB Control Number),9/29/2023 0:00,12/11/2023 0:00,Approved without change,5/19/2025 0:00,1,2,2025,202306-1850-005,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0991,ED/IES,Evaluation of the REL Appalachia Teaching Math to Young Children Toolkit,No material or nonsubstantive change to a currently approved collection,1/2/2025 0:00,1/2/2025 0:00,Approved without change,5/19/2025 0:00,1,1,2025,202412-1850-003,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0993,ED/IES,Evaluation of A Toolkit to Support Evidence-Based Writing Instruction in Grades 2 Through 4,New collection (Request for a new OMB Control Number),12/28/2023 0:00,3/8/2024 0:00,Approved without change,5/19/2025 0:00,1,6,2025,202310-1850-001,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0994,ED/IES,Regional Educational Laboratory (REL) Southwest Write to Succeed Evaluation,New collection (Request for a new OMB Control Number),1/17/2024 0:00,3/25/2024 0:00,Approved without change,5/13/2025 0:00,1,1,2025,202310-1850-003,Discontinue,4/22/2025,5/13/2025,Approved,2025
1850-0997,ED/IES,Regional Educational Laboratory (REL) Southwest Effective Advising Framework Evaluation,New collection (Request for a new OMB Control Number),7/12/2024 0:00,8/21/2024 0:00,Approved without change,5/16/2025 0:00,1,6,2025,202404-1850-003,Discontinue,4/22/2025,5/16/2025,Approved,2025
1850-0998,ED/IES,Providing Reading Interventions for Students in Middle School Toolkit Evaluation,New collection (Request for a new OMB Control Number),8/9/2024 0:00,10/4/2024 0:00,Approved without change,5/19/2025 0:00,1,7,2025,202405-1850-002,Discontinue,4/22/2025,5/19/2025,Approved,2025
1850-0999,ED/IES,Evaluation of the REL Southeast Early Literacy Toolkit,New collection (Request for a new OMB Control Number),8/28/2024 0:00,10/22/2024 0:00,Approved without change,5/19/2025 0:00,1,4,2025,202405-1850-003,Discontinue,4/22/2025,5/19/2025,Approved,2025
1855-0012,ED/OII,State Charter School Facilities Incentive Grants Program (1894-0001),Extension without change of a currently approved collection,12/28/2021 0:00,1/31/2022 0:00,Approved without change,1/31/2025 0:00,1,1,2025,202112-1855-001,Discontinue,1/6/2025,1/7/2025,Approved,2025
1855-0025,ED/OII,Magnet Schools Assistance Program- Government Performance and Results Act (GPRA) Table Form,Extension without change of a currently approved collection,1/3/2022 0:00,2/7/2022 0:00,Approved without change,2/28/2025 0:00,1,1,2025,202110-1855-001,Discontinue,2/10/2025,2/20/2025,Approved,2025
1902-0245,FERC,"FERC-732, Electric Rate Schedules and Tariffs: Long-Term Firm Transmission Rights in Organized Electricity Markets",Revision of a currently approved collection,1/26/2022 0:00,1/11/2023 0:00,Approved without change,12/31/2025 0:00,1,0,2025,202201-1902-004,Discontinue,12/10/2025,12/11/2025,Approved,2025
1902-0263,FERC,"FERC-725M, (DLO in RD22-2) Mandatory Reliability Standard: FAC-003-5, Transmission Vegetation Management",Revision of a currently approved collection,10/20/2022 0:00,1/27/2023 0:00,Approved without change,8/31/2025 0:00,3,0,2025,202210-1902-003,Discontinue,5/13/2025,8/22/2025,Approved,2025
1902-0280,FERC,"FERC-725P1, Mandatory Reliability Standards, PRC-005-6 Reliability Standard",Revision of a currently approved collection,10/13/2022 0:00,5/23/2023 0:00,Approved without change,7/31/2025 0:00,1,0,2025,202210-1902-002,Discontinue,5/13/2025,7/9/2025,Approved,2025
1902-0282,FERC,"FERC-725G4, Mandatory Reliability Standards: Reliability Standard PRC-010-2 (Undervoltage Load Shedding)",Extension without change of a currently approved collection,11/17/2021 0:00,6/3/2022 0:00,Approved without change,7/31/2025 0:00,1,0,2025,202107-1902-006,Discontinue,5/13/2025,7/9/2025,Approved,2025
1902-0284,FERC,"FERC-725G1, Mandatory Reliability Standards for the Bulk-Power System: Reliability Standard PRC-004-6 (Protection System Misoperation Identification and Correction)",Extension without change of a currently approved collection,11/17/2021 0:00,6/3/2022 0:00,Approved without change,7/31/2025 0:00,1,0,2025,202107-1902-005,Discontinue,5/13/2025,7/9/2025,Approved,2025
1902-0292,FERC,"FERC-725A(1B), Mandatory Reliability Standard: TOP-010-1",Extension without change of a currently approved collection,5/9/2023 0:00,8/14/2023 0:00,Approved without change,8/31/2025 0:00,3,0,2025,202304-1902-002,Discontinue,5/13/2025,8/22/2025,Approved,2025
1902-0295,FERC,"FERC-516G, Electric Rates Schedules and Tariff Filings",Extension without change of a currently approved collection,10/22/2024 0:00,1/10/2025 0:00,Approved with change,8/31/2025 0:00,1,0,2025,202410-1902-003,Discontinue,4/1/2025,8/22/2025,Approved,2025
1902-0304,FERC,"FERC-725B2, (CLO in Docket RD21-2) Mandatory Reliability Standards for Critical Infrastructure Protection [CIP] Reliability Standards",New collection (Request for a new OMB Control Number),5/7/2021 0:00,1/27/2022 0:00,Approved without change,1/31/2025 0:00,3,0,2025,202102-1902-002,Discontinue,10/23/2024,1/15/2025,Approved,2024
1902-0320,FERC,Request for a Medical Exception to the COVID-19 Vaccination Requirement,New collection (Request for a new OMB Control Number),11/10/2021 0:00,11/22/2021 0:00,Approved with change,12/31/2025 0:00,1,1,2025,202111-1902-002,Discontinue,12/19/2025,12/19/2025,Approved,2025
